Alternatif,Urun,Rating,Discounted_Price,TOPSIS_Skoru,Siralama
A66,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",4.4,309.0,0.9699353388751913,1
A13,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",4.4,219.0,0.965304450606674,2
A683,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",4.4,219.0,0.9653043848151263,3
A48,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",4.4,309.0,0.9412502816026003,4
A351,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),4.1,349.0,0.8585875524374965,5
A583,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),4.1,365.0,0.8582441295250994,6
A399,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),4.1,379.0,0.8580695653438597,7
A370,"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",4.1,6499.0,0.7493530125284447,8
A472,"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",4.1,6499.0,0.7484594485639536,9
A565,"Redmi 9A Sport (Coral Green, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",4.1,7499.0,0.7479133965238386,10
A369,"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery",4.1,8499.0,0.747307556197053,11
A759,boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),4.1,699.0,0.6762017046829425,12
A1027,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",4.1,199.0,0.6746253797237544,13
A587,SanDisk Cruzer Blade 32GB USB Flash Drive,4.3,289.0,0.6419148062634121,14
A863,SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,4.5,939.0,0.5534440858469869,15
A478,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Red)",4.1,599.0,0.530654834680857,16
A346,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",4.1,599.0,0.5297000539545756,17
